numer,denom,倒数分解法
6808100326899565805029628882462243632538701824780886666581744044787356866159155110443836972298359360777143820288895487103322508038805866101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300237224416270852001806633716584944194956750472837101996254912375122437797618740370573210478357647810272042474740290981256522604511338695054100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
1429701068648908819056222065317071162833127383203986199982166249405344941893422573193205764182655465763200202260668052291697726688149231881210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,63049817127416878920379393080482838280940917599295791419213531598775711937499935477820374200455106040157128919695461106063869746947381125961361000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
300237224416270852001806633716584944194956750472837101996254912375122437797618740370573210478357647810272042474740290981256522604511338695054100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,13240461596757544573279672546901396038997592695852116198034841635742899506874986450342278582095572268432997073136046832273412646858950036451885810000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
63049817127416878920379393080482838280940917599295791419213531598775711937499935477820374200455106040157128919695461106063869746947381125961361000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2780496935319084360388731234849293168189494466128944401587316743506008896443747154571878502240070176370929385358569834777416655840379507654896020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
13240461596757544573279672546901396038997592695852116198034841635742899506874986450342278582095572268432997073136046832273412646858950036451885810000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,583904356417007715681633559318351565319793837887078324333336516136261868253186902460094485470414737037895170925299665303257497726479696607528164221000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
2780496935319084360388731234849293168189494466128944401587316743506008896443747154571878502240070176370929385358569834777416655840379507654896020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,122619914847571620293143047456853828717156705956286448110000668388614992333169249516619841948787094777957985894312929713684074522560736287580914486410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
583904356417007715681633559318351565319793837887078324333336516136261868253186902460094485470414737037895170925299665303257497726479696607528164221000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,25750182117990040261560039965939304030602908250820154103100140361609148389965542398490166809245289903371177037805715239873655649737754620391992042146100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
122619914847571620293143047456853828717156705956286448110000668388614992333169249516619841948787094777957985894312929713684074522560736287580914486410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5407538244777908454927608392847253846426610732672232361651029475937921161892763903682935029941510879707947177939200200373467686444928470282318328850681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
25750182117990040261560039965939304030602908250820154103100140361609148389965542398490166809245289903371177037805715239873655649737754620391992042146100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1135583031403360775534797762497923307749588253861168795946716189946963443997480419773416356287717284738668907367232042078428214153434978759286849058643010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
5407538244777908454927608392847253846426610732672232361651029475937921161892763903682935029941510879707947177939200200373467686444928470282318328850681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,238472436594705762862307530124563894627413533310845447148810399888862323239470888152417434820420629795120470547118728836469924972221345539450238302315032100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
1135583031403360775534797762497923307749588253861168795946716189946963443997480419773416356287717284738668907367232042078428214153434978759286849058643010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,50079211684888210201084581326158417871756841995277543901250183976661087880288886512007661312288332256975298814894933055658684244166482563284550043486156741000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
238472436594705762862307530124563894627413533310845447148810399888862323239470888152417434820420629795120470547118728836469924972221345539450238302315032100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10516634453826524142227762078493267753068936819008284219262538635098828454860666167521608875580549773964812751127935941688323691274961338289755509132092915610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
